% time	cellId	IMSI	RNTI	rsrp	sinr
0.0342143	2	3	1	2.73664e-08	1.61115
0.0792143	1	1	1	4.22113e-11	88989.2
0.0882143	1	1	1	1.35925e-07	2.86556e+08
0.0572143	1	1	2	4.22698e-13	891.204
0.0342143	2	4	2	1.17333e-07	6.04923
0.0802143	1	1	1	4.22113e-11	88989.2
0.0572143	1	2	3	4.22698e-13	891.204
0.0342143	3	5	2	5.7693e-08	2.45217
0.126214	1	1	1	0.00333333	2.84283e+07
0.0312143	1	1	1	0.000616772	697200
0.0802143	1	1	1	0.00333333	7.02728e+12
0.126214	2	2	1	0.00333333	2.84283e+07
0.0342143	3	6	1	1.02661e-07	9.56154
0.0572143	1	3	1	4.22698e-13	891.204
0.0812143	1	1	1	4.22113e-11	88989.2
0.0342143	4	7	1	5.58632e-08	4.86241
0.0312143	1	2	2	0.000328732	75616.3
0.0892143	1	1	1	1.35925e-07	2.86556e+08
0.127214	1	1	1	0.00333333	7.02728e+12
0.0822143	1	1	1	4.22113e-11	88989.2
0.127214	2	2	1	0.00333333	7.02728e+12
0.0342143	4	8	2	3.62359e-08	1.65206
0.0312143	1	3	3	0.0114831	6.44455e+06
0.128214	1	1	1	0.00333333	7.02728e+12
0.0342143	5	9	2	4.65211e-08	3.1381
0.0832143	1	1	1	4.22113e-11	88989.2
0.0312143	2	4	2	0.00829722	803484
0.128214	2	2	1	0.00333333	7.02728e+12
0.0342143	5	10	1	2.29818e-08	2.12464
0.129214	1	1	1	0.00333333	7.02728e+12
0.0842143	1	1	1	4.22113e-11	88989.2
0.0312143	2	5	1	0.00691353	1.16629e+06
0.0812143	1	1	1	0.00333333	7.02728e+12
0.129214	2	2	1	0.00333333	7.02728e+12
0.0852143	1	1	1	4.22113e-11	88989.2
0.0902143	1	1	1	1.35925e-07	2.86556e+08
0.130214	1	1	1	0.00333333	7.02728e+12
0.130214	2	2	1	0.00333333	7.02728e+12
0.0312143	2	6	3	0.0295529	3.07354e+07
0.0582143	1	1	2	4.22698e-13	891.204
0.131214	1	1	1	0.00333333	7.02728e+12
0.0312143	3	7	2	0.0609386	7.849e+07
0.0862143	1	1	1	4.22113e-11	88989.2
