% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.183	2	2	19	4	1	22	1431
0.066	1	1	7	7	2	28	749
0.052	13	4	6	3	1	28	2292
0.066	1	2	7	7	3	28	749
0.184	1	1	19	5	1	22	1431
0.184	2	2	19	5	1	22	1431
0.097	1	1	10	8	1	28	2292
0.107	1	1	11	8	1	28	2292
0.185	1	1	19	6	1	22	1431
0.185	2	2	19	6	1	22	1431
0.186	1	1	19	7	1	22	1431
0.037	1	1	4	8	1	6	153
0.098	1	1	10	9	1	28	2292
0.037	1	2	4	8	2	4	105
0.108	1	1	11	9	1	28	2292
0.186	2	2	19	7	1	22	1431
0.067	1	3	7	8	1	28	749
0.067	1	1	7	8	2	28	749
0.121	2	1	13	2	1	28	2292
0.067	1	2	7	8	3	28	749
0.037	2	3	4	8	1	6	153
0.187	1	1	19	8	1	22	1431
0.037	2	4	4	8	2	4	105
0.187	2	2	19	8	1	22	1431
0.099	1	1	10	10	1	28	2292
0.037	3	6	4	8	1	4	105
0.109	1	1	11	10	1	28	2292
0.053	1	22	6	4	1	4	105
0.037	3	5	4	8	2	8	209
0.053	1	18	6	4	2	2	65
0.122	2	1	13	3	1	28	2292
0.188	1	1	19	9	1	22	1431
0.053	2	15	6	4	1	4	105
0.037	4	7	4	8	1	6	153
0.188	2	2	19	9	1	22	1431
0.053	2	14	6	4	2	8	209
0.037	4	8	4	8	2	6	153
0.1	1	1	11	1	1	28	2292
0.123	2	1	13	4	1	28	2292
0.053	3	17	6	4	1	14	389
0.189	1	1	19	10	1	22	1431
0.053	3	16	6	4	2	6	153
0.11	1	1	12	1	1	28	2292
0.189	2	2	19	10	1	22	1431
0.037	5	10	4	8	1	6	153
0.033	1	1	4	4	1	28	749
0.068	1	3	7	9	1	28	749
0.037	5	9	4	8	2	6	153
0.033	1	2	4	4	2	28	749
0.068	1	1	7	9	2	28	749
0.033	1	3	4	4	3	28	749
0.053	6	7	6	4	1	8	137
0.068	1	2	7	9	3	28	749
0.124	2	1	13	5	1	28	2292
0.053	6	23	6	4	2	2	41
0.19	1	1	20	1	1	22	1431
0.053	6	13	6	4	3	4	69
0.101	1	1	11	2	1	28	2292
0.033	2	5	4	4	1	28	749
0.19	2	2	20	1	1	22	1431
0.033	2	4	4	4	2	28	749
0.111	1	1	12	2	1	28	2292
0.053	7	11	6	4	1	6	101
0.033	2	6	4	4	3	28	749
0.053	7	9	6	4	2	16	309
0.053	7	10	6	4	3	12	201
0.191	1	1	20	2	1	22	1431
0.033	3	8	4	4	1	28	749
0.053	8	20	6	4	1	10	501
0.033	3	7	4	4	2	28	749
0.191	2	2	20	2	1	22	1431
0.033	3	9	4	4	3	28	749
0.102	1	1	11	3	1	28	2292
0.053	9	6	6	4	1	2	41
0.112	1	1	12	3	1	28	2292
0.033	4	12	4	4	1	28	749
0.053	10	1	6	4	1	18	999
0.069	1	3	7	10	1	28	749
0.033	4	11	4	4	2	28	749
0.192	1	1	20	3	1	22	1431
0.127	2	1	13	8	1	28	2292
0.069	1	1	7	10	2	28	749
0.033	4	10	4	4	3	28	749
0.069	1	2	7	10	3	28	749
0.053	11	2	6	4	1	12	621
0.113	1	1	12	4	1	28	2292
0.103	1	1	11	4	1	28	2292
0.192	2	2	20	3	1	22	1431
0.033	5	13	4	4	1	28	749
0.033	5	14	4	4	2	28	749
0.053	12	3	6	4	1	28	2292
0.033	5	15	4	4	3	28	749
0.193	1	1	20	4	1	22	1431
0.053	13	4	6	4	1	28	2292
0.033	6	16	4	4	1	28	749
0.033	6	17	4	4	2	28	749
0.193	2	2	20	4	1	22	1431
0.033	6	18	4	4	3	28	749
0.114	1	1	12	5	1	28	2292
0.194	1	1	20	5	1	22	1431
0.104	1	1	11	5	1	28	2292
0.194	2	2	20	5	1	22	1431
0.115	1	1	12	6	1	28	2292
0.07	1	3	8	1	1	28	749
0.07	1	1	8	1	2	28	749
0.195	1	1	20	6	1	22	1431
0.07	1	2	8	1	3	28	749
0.105	1	1	11	6	1	28	2292
0.195	2	2	20	6	1	22	1431
0.131	2	1	14	2	1	28	2292
0.116	1	1	12	7	1	28	2292
0.133	2	1	14	4	1	28	2292
0.196	1	1	20	7	1	22	1431
0.196	2	2	20	7	1	22	1431
0.106	1	1	11	7	1	28	2292
0.071	1	3	8	2	1	28	749
0.197	1	1	20	8	1	22	1431
0.117	1	1	12	8	1	28	2292
0.071	1	1	8	2	2	28	749
0.054	1	22	6	5	1	4	105
0.071	1	2	8	2	3	28	749
0.054	1	18	6	5	2	2	65
0.197	2	2	20	8	1	22	1431
0.054	2	15	6	5	1	4	105
0.054	2	14	6	5	2	8	209
0.198	1	1	20	9	1	22	1431
0.107	1	1	11	8	1	28	2292
0.054	3	17	6	5	1	14	389
0.038	1	1	4	9	1	6	153
0.054	3	16	6	5	2	6	153
0.118	1	1	12	9	1	28	2292
0.198	2	2	20	9	1	22	1431
0.038	1	2	4	9	2	4	105
0.199	1	1	20	10	1	22	1431
0.054	6	7	6	5	1	8	137
0.038	2	3	4	9	1	6	153
0.054	6	23	6	5	2	2	41
0.038	2	4	4	9	2	4	105
0.199	2	2	20	10	1	22	1431
0.054	6	13	6	5	3	4	69
0.072	1	3	8	3	1	28	749
0.108	1	1	11	9	1	28	2292
0.072	1	1	8	3	2	28	749
0.038	3	6	4	9	1	4	105
0.054	7	11	6	5	1	6	101
0.119	1	1	12	10	1	28	2292
0.072	1	2	8	3	3	28	749
0.038	3	5	4	9	2	8	209
0.054	7	9	6	5	2	16	309
0.141	2	1	15	2	1	28	2292
0.054	7	10	6	5	3	12	201
0.2	1	1	21	1	1	22	1431
0.054	8	20	6	5	1	10	501
0.038	4	7	4	9	1	6	153
0.2	2	2	20.08	1	1	9	1	2	28	749
0.08	1	2	9	1	3	28	749
